noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
ETH,ETH,Ethiopia,Athletics,2020,4,1,8.0,1.0,7.333333333333333,-4.0,0.0,0.0,0,1.0,144,3.0,3.0,-2.7358629679571576
ROU,ROU,Romania,Rowing,1988,7,1,8.0,6.0,4.0,-1.0,-5.0,3.0,0,1.0,55,13.0,13.0,-2.735999357321556
AUS,AUS,Australia,Cycling,1996,5,0,5.0,1.0,3.3333333333333335,0.0,-1.0,1.6666666666666665,0,1.0,42,12.0,12.0,-2.736626672446767
CHN,CHN,China,Gymnastics,1996,6,1,8.0,2.0,7.0,-2.0,-1.0,0.0,0,1.0,44,-3.0,0.0,-2.7438797477622794
CUB,CUB,Cuba,Wrestling,1996,3,1,5.0,2.0,5.0,-2.0,-1.0,0.0,0,1.0,60,0.0,0.0,-2.7438797477622794
USA,USA,United States,Canoeing,1996,1,0,3.0,1.0,2.0,-2.0,-1.0,0.0,0,1.0,48,0.0,0.0,-2.7438797477622794
UKR,UKR,Ukraine,Wrestling,2012,1,0,5.0,0.0,3.0,-4.0,0.0,0.0,0,1.0,72,1.0,1.0,-2.752985392096975
FRA,FRA,France,Wrestling,2012,1,0,2.0,1.0,1.6666666666666667,-1.0,-1.0,0.0,0,0.0,72,1.0,1.0,-2.761838061737619
SWE,SWE,Sweden,Athletics,1956,1,0,3.0,1.0,6.0,-2.0,-1.0,0.0,0,1.0,100,1.0,1.0,-2.7654876224510203
JPN,JPN,Japan,Swimming,1964,1,0,5.0,0.0,4.333333333333333,-4.0,0.0,0.0,0,1.0,54,9.0,9.0,-2.7656289010086224
BEL,BEL,Belgium,Judo,2000,2,0,4.0,1.0,2.0,-2.0,-1.0,0.0,0,1.0,56,0.0,0.0,-2.7669447640871505
USA,USA,United States,Boxing,2000,4,0,6.0,1.0,5.666666666666667,-2.0,-1.0,0.0,0,1.0,48,0.0,0.0,-2.7669447640871505
UKR,UKR,Ukraine,Wrestling,2000,2,0,4.0,1.0,4.0,-2.0,-1.0,0.0,0,1.0,48,-12.0,0.0,-2.7669447640871505
NZL,NZL,New Zealand,Equestrianism,2000,1,0,3.0,1.0,2.3333333333333335,-2.0,-1.0,0.0,0,1.0,18,0.0,0.0,-2.7669447640871505
SWE,SWE,Sweden,Gymnastics,1956,3,0,2.0,2.0,1.3333333333333333,1.0,-2.0,1.6666666666666667,0,0.0,48,3.0,3.0,-2.770170577494347
GER,DEU,Germany,Gymnastics,1992,3,0,8.0,1.0,9.0,-5.0,-1.0,0.0,0,1.0,47,-5.0,0.0,-2.7821360133150965
RUS,RUS,Russia,Tennis,2012,2,0,3.0,1.0,2.5,-1.0,-1.0,0.0,0,1.0,15,3.0,3.0,-2.7822324435180814
ITA,ITA,Italy,Athletics,2012,1,0,2.0,1.0,2.3333333333333335,-1.0,-1.0,0.0,0,1.0,143,3.0,3.0,-2.7822324435180814
SUI,CHE,Switzerland,Gymnastics,1904,2,1,3.0,1.0,3.0,-1.0,0.0,0.0,0,1.0,35,32.0,32.0,-2.789088793430573
TCH,TCH,Czechia,Gymnastics,1952,1,0,4.0,1.0,3.6666666666666665,-3.0,-1.0,0.0,0,1.0,45,19.0,19.0,-2.7914085346497925
ARG,ARG,Argentina,Boxing,1952,2,0,3.0,2.0,3.3333333333333335,-1.0,-2.0,0.0,0,1.0,40,16.0,16.0,-2.79593857909668
